ID,TIME,lng_h,lat_h,lng_w,lat_w
FL7LRL,2024-01-04T20:23:00+0000,11.58315983,48.27738894,11.56150596,48.28589441
YJURU7,2024-01-05T13:55:15+0000,11.56860064,48.27277802,11.56155316,48.28591458
FL7LRL,2024-01-05T13:55:37+0000,11.56859638,48.27274992,11.56156371,48.28591656
FL7LRL,2024-01-05T14:45:04+0000,11.56962195,48.27229745,11.56318528,48.20810022
YJURU7,2024-01-05T14:42:14+0000,11.5696759,48.27235268,11.56326979,48.20821621
RTTXRK,2023-12-28T16:33:48+0000,11.59720947,48.19404461,11.56786254,48.18769712
LGXH6H,2023-12-28T16:33:54+0000,11.59609972,48.1940532,11.56796243,48.18792326
FL7LRL,2024-01-05T12:23:38+0000,11.58315983,48.27738894,11.56859638,48.27274992
YJURU7,2024-01-05T12:23:46+0000,11.58315983,48.27738894,11.56860064,48.27277802
LGXH6H,2024-01-01T14:28:53+0000,10.75394139,48.17990383,11.56901703,48.18681315
RTTXRK,2023-12-31T11:19:44+0000,11.70634893,48.02086467,11.56904883,48.18685497
LGXH6H,2023-12-29T17:30:17+0000,11.59443859,48.19333525,11.56904883,48.18685497
RTTXRK,2023-12-27T19:16:44+0000,11.58563217,48.20154556,11.56904883,48.18685497
LGXH6H,2023-12-27T19:16:25+0000,11.58579854,48.20194594,11.56904883,48.18685497
RTTXRK,2024-01-01T15:58:57+0000,10.92894129,48.36140908,11.56905267,48.18689729
47DPFZ,2024-01-01T18:45:06+0000,11.493571,48.39259512,11.569098,48.2872165
RTTXRK,2023-12-29T17:30:23+0000,11.59455854,48.1931354,11.56910466,48.18682686
LGXH6H,2023-12-31T11:19:33+0000,11.70638659,48.0208413,11.56913063,48.18685604
GTXNAD,2023-12-29T08:58:14+0000,11.56917967,48.28708733,11.56915467,48.28708167
HLT3VC,2024-01-07T18:21:29+0000,2.1330452,41.48928903,11.56917967,48.28708733
GTXNAD,2023-12-30T08:58:14+0000,11.56915467,48.28708167,11.56917967,48.28708733
CAFMTC,2024-01-03T08:14:42+0000,11.5691817,48.28708591,11.56917967,48.28708733
GTXNAD,2024-01-03T08:58:16+0000,11.5691817,48.28708591,11.56917967,48.28708733
GTXNAD,2023-12-26T08:58:16+0000,11.5691817,48.28708591,11.56917967,48.28708733
GTXNAD,2024-01-04T08:58:34+0000,11.56917967,48.28708733,11.56917967,48.28708733
GTXNAD,2023-12-28T08:58:14+0000,11.56917967,48.28708733,11.56917967,48.28708733
GTXNAD,2023-12-27T08:58:16+0000,11.56917967,48.28708733,11.56917967,48.28708733
GTXNAD,2023-12-24T08:58:16+0000,11.56917967,48.28708733,11.56917967,48.28708733
CAFMTC,2024-01-02T08:14:37+0000,11.56921337,48.28708691,11.5691817,48.28708591
GTXNAD,2024-01-02T08:58:14+0000,11.56921337,48.28708691,11.5691817,48.28708591
GTXNAD,2023-12-31T08:58:14+0000,11.56917967,48.28708733,11.5691817,48.28708591
GTXNAD,2023-12-25T08:58:16+0000,11.56917967,48.28708733,11.5691817,48.28708591
CAFMTC,2024-01-02T07:22:03+0000,11.50298326,48.1446662,11.56921337,48.28708691
GTXNAD,2024-01-01T08:58:14+0000,11.5691817,48.28708591,11.56921337,48.28708691
CAFMTC,2024-01-04T08:14:50+0000,11.56917967,48.28708733,11.56921337,48.28708691
GTXNAD,2024-01-05T08:58:43+0000,11.56917967,48.28708733,11.56921337,48.28708691
CAFMTC,2024-01-06T08:14:58+0000,11.56922537,48.28710157,11.56921337,48.28708691
RTTXRK,2024-01-01T18:15:51+0000,11.56905267,48.18689729,11.56922537,48.28710157
CAFMTC,2024-01-05T08:14:57+0000,11.56921337,48.28708691,11.56922537,48.28710157
GTXNAD,2024-01-06T08:58:52+0000,11.56921337,48.28708691,11.56922537,48.28710157
LGXH6H,2024-01-05T16:12:19+0000,11.60103796,47.29562439,11.56948988,48.28188142
